family,config,cv_mean,cv_std
ElasticNet,"α=10, l1_ratio=0.5",0.021366796297864532,0.01327099596323055
Ridge,α=10000,0.02113347310358906,0.013635191688802794
k-NN,"k=200, weights=distance",0.02104853410795231,0.022606167634486224
k-NN,"k=200, weights=uniform",0.02043393210581814,0.022846769009353764
k-NN,"k=100, weights=distance",0.016522870821972457,0.029434226449839375
k-NN,"k=100, weights=uniform",0.015442793913223295,0.03006728877187692
ElasticNet,"α=10, l1_ratio=0.1",0.01493194727693119,0.00785627499358707
k-NN,"k=50, weights=distance",0.012623253488184782,0.05120877833838777
k-NN,"k=50, weights=uniform",0.011932436844676864,0.052281628095664064
ElasticNet,"α=100, l1_ratio=0.9",0.01041168490450517,0.006288211654276495
Ridge,α=100000,-0.0012161106246582954,0.007379918666072466
ElasticNet,"α=100, l1_ratio=0.5",-0.0017876322878285667,0.007639511320441338
ElasticNet,"α=100, l1_ratio=0.1",-0.0035553107987727818,0.00888275361093963
Ridge,α=1e+06,-0.006018459160537337,0.010716925393920647
LASSO,α=1000,-0.006591419752283434,0.011162405142737662
k-NN,"k=20, weights=distance",-0.022850440580608478,0.11767974905459
k-NN,"k=20, weights=uniform",-0.02400150548882256,0.12042736098914236
ElasticNet,"α=10, l1_ratio=0.9",-0.03775198091895966,0.1815668050050476
ElasticNet,"α=1, l1_ratio=0.1",-0.058000089317127815,0.22210099659649626
k-NN,"k=10, weights=distance",-0.094072807205049,0.21266262109856576
k-NN,"k=10, weights=uniform",-0.09799566595572022,0.21958387445287753
ElasticNet,"α=1, l1_ratio=0.5",-0.14010146930608547,0.3879309013489978
Ridge,α=1000,-0.1409996972670218,0.3894810593256036
k-NN,"k=5, weights=distance",-0.18846965752532227,0.34593252401394003
k-NN,"k=5, weights=uniform",-0.19505514975456467,0.35715617178679737
LASSO,α=100,-0.2126014456733097,0.5404980436342779
k-NN,"k=3, weights=distance",-0.3479461050499616,0.6187849459991562
ElasticNet,"α=1, l1_ratio=0.9",-0.35081567073159287,0.7857409628422114
ElasticNet,"α=0.1, l1_ratio=0.1",-0.36298802659008544,0.8075251399881793
k-NN,"k=3, weights=uniform",-0.37159583893698206,0.6630985135467826
ElasticNet,"α=0.1, l1_ratio=0.5",-0.4013978788022574,0.877797181099157
Ridge,α=100,-0.4016014903742057,0.8781347047710997
LASSO,α=10,-0.41525857664843235,0.9093171252280147
ElasticNet,"α=0.1, l1_ratio=0.9",-0.4449534815641196,0.957011980332302
Ridge,α=10,-0.451231200869976,0.9683205183728977
LASSO,α=1,-0.4526879373759215,0.9716973646606011
Ridge,α=1,-0.4566035233039282,0.9780478223025941
LASSO,α=0.1,-0.45675009355556034,0.9783882752899234
LASSO,α=0.01,-0.4571598296548455,0.9790622064773598
