name,lo,hi,alpha,cv_mean,cv_std,oof_r2
sym[ 0.2-99.8]+Ridge α=0.3 ,0.2,99.8,0.3,-0.09163122610663224,0.3079911126864845,0.038060028946310887
sym[ 0.2-99.8]+Ridge α=0.5 ,0.2,99.8,0.5,-0.09159727674286051,0.3079192140133829,0.0380582557239163
sym[ 0.2-99.8]+Ridge α=1.0 ,0.2,99.8,1.0,-0.09151245672836847,0.30773957022075,0.03805382236430688
sym[ 0.2-99.8]+Ridge α=2.0 ,0.2,99.8,2.0,-0.09134304525009503,0.30738072306691244,0.03804495435199429
sym[ 0.2-99.8]+Ridge α=5.0 ,0.2,99.8,5.0,-0.09083663321013877,0.3063076939471258,0.038018340142056406
sym[ 0.3-99.7]+Ridge α=0.3 ,0.3,99.7,0.3,-0.06090884193702588,0.24180064335732013,0.035683426697155185
sym[ 0.3-99.7]+Ridge α=0.5 ,0.3,99.7,0.5,-0.06088233086175341,0.24174274210260546,0.035681525074776954
sym[ 0.3-99.7]+Ridge α=1.0 ,0.3,99.7,1.0,-0.060816095960992286,0.24159807272647485,0.03567677116266721
sym[ 0.3-99.7]+Ridge α=2.0 ,0.3,99.7,2.0,-0.06068380930351467,0.2413090925179909,0.03566726396014708
sym[ 0.3-99.7]+Ridge α=5.0 ,0.3,99.7,5.0,-0.06028840961529667,0.24044501115507444,0.03563874743703599
sym[ 0.4-99.6]+Ridge α=0.3 ,0.4,99.6,0.3,-0.0395898902530357,0.19356878196763877,0.0347157820786167
sym[ 0.4-99.6]+Ridge α=0.5 ,0.4,99.6,0.5,-0.039568923296939326,0.19352140386386793,0.034713719180228475
sym[ 0.4-99.6]+Ridge α=1.0 ,0.4,99.6,1.0,-0.039516540696816094,0.1934030279265408,0.03470856245047527
sym[ 0.4-99.6]+Ridge α=2.0 ,0.4,99.6,2.0,-0.039411924407510734,0.19316657278867766,0.03469825120636205
sym[ 0.4-99.6]+Ridge α=5.0 ,0.4,99.6,5.0,-0.03909926282550356,0.19245957371310218,0.03466733526099808
sweet[0.5-99.5]+Ridge α=0.1 ,0.5,99.5,0.1,-0.028396525744018564,0.16309959707296293,0.03266959579344475
sweet[0.5-99.5]+Ridge α=0.2 ,0.5,99.5,0.2,-0.028387707735504985,0.16307892500382548,0.032668536935446024
sym[ 0.5-99.5]+Ridge α=0.3 ,0.5,99.5,0.3,-0.028378891427187525,0.16305825642212113,0.03266747812313231
sym[ 0.5-99.5]+Ridge α=0.5 ,0.5,99.5,0.5,-0.028361263909604674,0.16301692971803447,0.032665360635570906
sweet[0.5-99.5]+Ridge α=0.7 ,0.5,99.5,0.7,-0.028343643188198597,0.1629756169547486,0.032663243330781855
sym[ 0.5-99.5]+Ridge α=1.0 ,0.5,99.5,1.0,-0.02831722484220598,0.16291367393580383,0.032660067716341334
sweet[0.5-99.5]+Ridge α=1.5 ,0.5,99.5,1.5,-0.028273228202968202,0.16281050519063486,0.03265477593976229
sym[ 0.5-99.5]+Ridge α=2.0 ,0.5,99.5,2.0,-0.02822927394400816,0.16270742338969782,0.03264948530615874
sweet[0.5-99.5]+Ridge α=3.0 ,0.5,99.5,3.0,-0.02814149237571535,0.16250152024981143,0.0326389074691642
sym[ 0.5-99.5]+Ridge α=5.0 ,0.5,99.5,5.0,-0.027966435702808167,0.16209075322983788,0.03261776552495754
asym[ 0.3-99.0]+Ridge α=1,0.3,99.0,1.0,-0.03697163007715498,0.1802282181951341,0.031148591124466996
asym[ 0.5-99.3]+Ridge α=1,0.5,99.3,1.0,-0.01971161150990326,0.1396559047818968,0.030597533895458384
sym[ 0.6-99.4]+Ridge α=0.3 ,0.6,99.4,0.3,-0.007718156359690776,0.11340626791130372,0.030228092884937552
sym[ 0.6-99.4]+Ridge α=0.5 ,0.6,99.4,0.5,-0.007706006000926258,0.1133759263703427,0.03022598124522813
sym[ 0.6-99.4]+Ridge α=1.0 ,0.6,99.4,1.0,-0.007675651812243811,0.11330011833372448,0.030220703158429174
sym[ 0.6-99.4]+Ridge α=2.0 ,0.6,99.4,2.0,-0.0076150363486991775,0.11314869837490535,0.030210151323513457
sym[ 0.6-99.4]+Ridge α=5.0 ,0.6,99.4,5.0,-0.007433930705078762,0.11269600236948495,0.03017853051761643
asym[ 0.7-99.5]+Ridge α=1,0.7,99.5,1.0,-0.007963587514934822,0.11405541011696076,0.02978798633742863
asym[ 0.3-98.5]+Ridge α=1,0.3,98.5,1.0,-0.028684440815943367,0.15868927316179332,0.029087754722672998
asym[ 1.0-99.7]+Ridge α=1,1.0,99.7,1.0,0.005857703750713017,0.0798908451595403,0.028792353132978565
asym[ 0.5-99.0]+Ridge α=1,0.5,99.0,1.0,-0.015472498861461136,0.1252762209611687,0.028698394402083327
sym[ 0.7-99.3]+Ridge α=0.3 ,0.7,99.3,0.3,-0.001324339569509947,0.09431318816617344,0.027570479579614338
sym[ 0.7-99.3]+Ridge α=0.5 ,0.7,99.3,0.5,-0.0013145795791832393,0.09428777872256018,0.027568458098144233
sym[ 0.7-99.3]+Ridge α=1.0 ,0.7,99.3,1.0,-0.0012901976992954589,0.09422429411707871,0.02756340548496472
sym[ 0.7-99.3]+Ridge α=2.0 ,0.7,99.3,2.0,-0.0012415113910027476,0.09409749185969744,0.027553304930780453
sym[ 0.7-99.3]+Ridge α=5.0 ,0.7,99.3,5.0,-0.001096069914427189,0.09371841639909821,0.027523040616545202
asym[ 1.0-99.5]+Ridge α=1,1.0,99.5,1.0,0.008962670818880714,0.06805201738386882,0.027495288529580608
sym[ 0.8-99.2]+Ridge α=0.3 ,0.8,99.2,0.3,0.009172775994702254,0.06878004088619923,0.026563254639107692
sym[ 0.8-99.2]+Ridge α=0.5 ,0.8,99.2,0.5,0.009179428822004376,0.06876097683758503,0.026561219002713576
sym[ 0.8-99.2]+Ridge α=1.0 ,0.8,99.2,1.0,0.009196047395121875,0.06871334688944658,0.026556131119633952
sym[ 0.8-99.2]+Ridge α=2.0 ,0.8,99.2,2.0,0.009229226783610978,0.06861821614837124,0.026545960528010948
sym[ 0.8-99.2]+Ridge α=5.0 ,0.8,99.2,5.0,0.009328304545266985,0.06833385380266295,0.02651549010285692
asym[ 0.5-98.5]+Ridge α=1,0.5,98.5,1.0,-0.009491723155446996,0.10779786424571647,0.026469170574758172
asym[ 1.5-99.7]+Ridge α=1,1.5,99.7,1.0,0.019855492939914243,0.04215898413934766,0.025508763092700115
asym[ 1.5-99.5]+Ridge α=1,1.5,99.5,1.0,0.021684441851139068,0.03259577480251157,0.024116751908124456
asym[ 2.0-99.5]+Ridge α=1,2.0,99.5,1.0,0.026110746721674148,0.016089147077953107,0.021801949107961294
